CountryID,CountryName,Region,IncomeLevel,ECIID,Year,FDINet,FDIInflowstoGDP,FDIInflows,FDIOutflowsPercent,FDIOutflows,GDP,GDPgrowth,GrossNationalSpending,InflationConsumerPrices,InflationRate,InflationPercent,GoodsNetTrade,GoodsandServicesNetTrade,TradePercent,ServicesTradedPercent,GovernmentSpendingToGDP,GovernmentSpendingAnnualGrowth,GovernmentSpending,GovernmentEducationSpendingToGDP,GovernmentEducationSpendingToTotalSpending,GovernmentMilitarySpendingToGDP,GovernmentMilitarySpendingToTotalSpending,GovernmentMilitarySpending,ElectricityAccess,AgriculturalCarbonDioxide,TransportCarbonDioxide,WasteCarbonDioxide,ForestArea,RenewableEnergyConsumption,TotalGreenhouseGas,LongTermExternalDebt,TotalPSD,LongTermPSD,ShortTermPSD,InterestPaymentsPercent,ExternalDebt,TotalDebt,FemaleLifeExpectancy,MaleLifeExpectancy,TotalLifeExpectancy,AdultLiteracyRate,YouthLiteracyRate,BasicDrinkingWater,SafelyManagedDrinkingWater,BasicHandwashing,PovertyRatio,NationalPovertyRatio,SocialPovertyRatio,UnemploymentwithAdvancedEducation,UnemploymentwithBasicEducation,UnemploymentWithintermediateEducation,TotalUnemployment,YouthUnemployment,ExchangeRate
MAR,Morocco,Middle East & North Africa,Lower middle income,ECI-MAR-2022,2022,-1654898394,1.7520598,2294356059,0.488314821,639457665,130952000000.0,1.52720358,1.46023E+11,6.657042028,2.661861206,2.661861206,-26462302460,-15234615256,101.1323821,25.02661062,19.58996381,3.438442757,24958122799,5.912246741,23.86566544,3.814559624,11.83592649,49952873.84,100,0.2054,17.5324,,12.91368788,,2.851694862,51137107785,,,,7.62,,4.66,77.177,72.896,74.973,77.34999847,98.51999664,87.01945849,74.82419935,,,,,25.85,13.05,24.96,11.79,32.65,10.16066024
ABW,Aruba,Latin America & Caribbean,High income,ECI-ABW-2022,2022,-124694278.1,7.567071864,248150282.6,3.764656031,123456004.5,3279343544.0,8.517918105,3205348811,,3.157279394,3.157279394,-1165472109,423839378.9,172.8841711,113.0012868,21.27764415,,695475453.5,,,,,,99.9,,0.1749,,2.333333333,8.8,4.972509552,,,,,,,,77.681,72.145,74.992,,,,,,,,,,,,,,1.79
AFG,Afghanistan,South Asia,Low income,ECI-AFG-2022,2022,,,,,,14497243872.0,-6.240171992,19739011036,,9.406239339,9.406239339,,,72.88546961,,21.84549192,-1.162118694,3166994239,,,,,,85.3,0.0236,2.2472,,1.852781994,20,0.705148264,1877151115,,,,,,0.18,66.213,59.766,62.879,,62.65999985,82.17537112,30.03409813,48.21469648,,,,,,,,,
AGO,Angola,Sub-Saharan Africa,Lower middle income,ECI-AGO-2022,2022,6639719014,-6.320563843,-6598652652,0.039335691,41066362.25,104400000000.0,3.044726524,84467524093,21.35529013,13.71059402,13.71059402,32770671648,21556000870,69.69107051,10.89953402,8.962658741,8.443328466,845248177.2,2.332125922,6.644719353,1.316819532,5.841265228,1622763732,48.5,,8.1334,,52.53649723,,1.886087984,50669254279,,,,,,15.86,64.541,59.351,61.929,72.40000153,83.30000305,57.71956067,,,,,,,,,14.124,26.605,460.5675116
ALB,Albania,Europe & Central Asia,Upper middle income,ECI-ALB-2022,2022,-1249848500,7.579342194,1441381891,1.007042231,191511664.1,19017242586.0,4.826688314,20976767107,6.725202715,9.861574155,9.861574155,-4466603020,-1959879935,84.69806392,39.60756482,12.41172571,2.332164652,2289898998,2.744329929,,1.219834357,3.974154282,228693159.6,100,0.0485,1.6681,0.0029,28.7919708,,2.812409885,8504934929,17037020394,9943680906,7093339488,,,3.78,79.472,74.502,76.833,98.5,99.5,95.09456352,70.73606795,,,,,10.228,9.437,12.355,10.785,24.538,113.0416667
AND,Andorra,Europe & Central Asia,High income,ECI-AND-2022,2022,-540316791.9,,,,,3380612573.0,9.564612256,,,4.236652265,4.236652265,-1585730790,296200061.2,,94.43489068,,,,2.647289991,6.961249828,,,,100,,,,34.04255319,18.7,,,,,,,,,,,,,,100,90.64000149,,,,,,,,,,0.950915534
ARE,United Arab Emirates,Middle East & North Africa,High income,ECI-ARE-2022,2022,,4.939654369,24833220000,4.939654369,24833220000,502732000000.0,7.509697032,4.08826E+11,5.291226044,12.62989369,12.62989369,,,188.9454617,,12.64752776,0.172278643,63583125925,,,,,,100,,42.0724,,4.467755562,,26.5641202,,,,,1.22,,,81.412,77.72,79.196,98,100,100,,,,,,4.117,0.421,1.025,2.873,10.383,3.6725
ARG,Argentina,Latin America & Caribbean,Upper middle income,ECI-ARG-2022,2022,-13110763935,2.402155349,15200600518,0.330257487,2089836583,632790000000.0,5.269879674,6.23488E+11,,69.87608425,69.87608425,12352064402,5529161408,31.54770801,5.633821226,15.83565718,2.969724445,126466191.5,4.852111353,12.77579613,0.686383443,1.84146139,433826131.4,100,2.2706,49.2634,0.0118,10.3611378,,8.253217325,165000000000,,,,7.76,,5.72,79.277,72.851,76.064,,,,,,0.6,39.2,22.8,2.898,7.777,8.295,6.805,18.971,130.61655
ARM,Armenia,Europe & Central Asia,Upper middle income,ECI-ARM-2022,2022,-925913971.6,4.999915861,975658909.3,0.254925672,49744937.62,19513506553.0,12.6,19700995708,8.64091109,7.985878528,7.985878528,-1865756410,-147212952.4,101.4107783,36.35644114,11.67648189,-2.21883,227849159.7,2.491899967,9.726643754,4.817459593,15.47349273,7952158.498,100,0.0449,2.3845,,11.52265543,,3.490670888,11931469229,,,,11.02,,10.48,78.447,67.866,73.372,,,99.9683045,82.41172394,94.42366242,0.8,24.8,20.1,,,,,,435.6661797
ASM,American Samoa,East Asia & Pacific,High income,ECI-ASM-2022,2022,,,,,,871000000.0,1.735015773,,,14.15276486,14.15276486,,,124.684271,,,,,,,,,,,,,,85.35,0.4,0.175830541,,,,,,,,,,,,,,,,,,,,,,,,1
