CountryID,CountryName,Region,IncomeLevel,ECIID,Year,FDINet,FDIInflowstoGDP,FDIInflows,FDIOutflowsPercent,FDIOutflows,GDP,GDPgrowth,GrossNationalSpending,InflationConsumerPrices,InflationRate,InflationPercent,GoodsNetTrade,GoodsandServicesNetTrade,TradePercent,ServicesTradedPercent,GovernmentSpendingToGDP,GovernmentSpendingAnnualGrowth,GovernmentSpending,GovernmentEducationSpendingToGDP,GovernmentEducationSpendingToTotalSpending,GovernmentMilitarySpendingToGDP,GovernmentMilitarySpendingToTotalSpending,GovernmentMilitarySpending,ElectricityAccess,AgriculturalCarbonDioxide,TransportCarbonDioxide,WasteCarbonDioxide,ForestArea,RenewableEnergyConsumption,TotalGreenhouseGas,LongTermExternalDebt,TotalPSD,LongTermPSD,ShortTermPSD,InterestPaymentsPercent,ExternalDebt,TotalDebt,FemaleLifeExpectancy,MaleLifeExpectancy,TotalLifeExpectancy,AdultLiteracyRate,YouthLiteracyRate,BasicDrinkingWater,SafelyManagedDrinkingWater,BasicHandwashing,PovertyRatio,NationalPovertyRatio,SocialPovertyRatio,UnemploymentwithAdvancedEducation,UnemploymentwithBasicEducation,UnemploymentWithintermediateEducation,TotalUnemployment,YouthUnemployment,ExchangeRate
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,ECI-ATG-2022,2022,-294856261.9,16.15470929,301726890.4,0.3678592,6870628.889,1867733333.0,9.516395644,,7.531078346,6.498856196,6.498856196,-642330460.7,-123031097.8,117.6300051,82.31042777,,,,3.647748474,9.168383682,,,,100,,0.1066,,18.16159091,0.9,4.010124946,,,,,,,,81.645,76.507,79.236,,,98.36493562,,,,,,,,,,,2.7
AUS,Australia,East Asia & Pacific,High income,ECI-AUS-2022,2022,54381972493,4.161495042,70364982117,7.377687126,1.24746E+11,1690860000000.0,4.242385553,1.60223E+12,6.594096713,7.175533615,7.175533615,1.11661E+11,94028162312,45.82177023,7.203828728,22.78427553,6.871561984,37331491378,5.26776619,13.94469357,1.983355739,5.132792432,3244533432,100,3.3159,89.2178,0.0158,17.42131456,,21.87289816,,2260000000000,1630000000000,633000000000,2.97,,,85.3,81.2,83.2,,,99.96973139,,,,,,2.278,7.71,3.977,3.728,8.449,1.441664459
AUT,Austria,Europe & Central Asia,High income,ECI-AUT-2022,2022,112362400.3,3.031433627,14301504457,3.055250643,14413866857,471774000000.0,5.277894212,4.75189E+11,8.546869932,4.754778348,4.754778348,-9272137067,-2519474102,124.3834515,33.70271924,2.552488896,0.361641163,96961222478,4.774471283,8.977286168,0.768528566,1.455617934,3612733178,100,0.042,21.1922,0.0008,47.20613185,,8.339940572,,,,,2.03,,,83.5,78.8,81.09268293,,,99.99999937,98.89632339,,,,,3.49,12.417,4.241,4.992,10.322,0.949623753
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,ECI-AZE-2022,2022,4646691000,-5.677737106,-4474481000,0.218519892,172210000,78807470588.0,4.714802365,52807764706,13.85225901,37.27056116,37.27056116,28697480000,25999657000,86.98227325,16.28349305,11.64214799,,9174882353,3.469339581,,3.799536412,14.49764776,299135294.1,100,0.1363,8.0685,0.0024,13.97248155,,5.820126219,14066728472,,,,2.05,,2.21,76.249,70.55,73.488,,,97.64218684,71.61170272,,,,,5.11,12.31,5.13,5.65,13.55,1.7
BDI,Burundi,Sub-Saharan Africa,Low income,ECI-BDI-2022,2022,-23323070.97,0.757355123,25285988.37,0.058792463,1962917.393,3338722828.0,1.848999439,3952150505,18.80087867,18.33172231,18.33172231,-826020419.9,-1086244584,28.31532036,13.12431452,3.975452725,5.918363576,13418451.35,4.821473668,2.637835359,2.598298275,6.737556286,11434221.22,10.3,,0.4056,,10.8894081,83,0.525196986,578318610.3,,,,,,0.99,63.868,60.077,61.977,75.54000092,93.55999756,62.44097549,,6.303589722,,,,,,,,,2034.306634
BEL,Belgium,Europe & Central Asia,High income,ECI-BEL-2022,2022,23329464558,2.001057025,11875049209,5.932290331,35204513767,593439000000.0,4.233431834,6.02107E+11,9.597511729,6.843979752,6.843979752,-764974659.2,-7959654595,191.9962892,48.07334591,23.49335854,4.478361786,1.39417E+11,,,1.182396426,2.226582985,689161299.8,100,0.0361,23.1126,0.0024,22.60444678,,9.612815181,,,,,3.11,,,83.9,79.6,81.69756098,,,100,99.73944938,,,12.3,,3.025,13.461,5.711,5.57,16.397,0.949623753
BEN,Benin,Sub-Saharan Africa,Lower middle income,ECI-BEN-2022,2022,-329419204.1,2.160638913,375988902.2,0.267615085,46569698.1,17401746309.0,6.253244914,18728995071,1.350778636,4.13878,4.13878,-636684456.7,-1024472574,50.93352007,8.574250156,1.578392539,3.479938788,175239671.2,3.377859116,16.94625848,0.632874917,3.182913371,11137.31732,56.5,,4.4149,0.0004,26.91690316,,1.207529256,8276962606,,,,,,2.99,61.676,58.265,59.954,47.09999847,66.40000153,67.36026981,,12.13046401,,,,10.297,1.647,4.622,1.685,3.166,622.9123482
BFA,Burkina Faso,Sub-Saharan Africa,Low income,ECI-BFA-2022,2022,-646208346.3,3.5586103,669738240.9,0.125024554,23529894.57,18820218691.0,1.497239741,19075079861,14.29023543,5.888965112,5.888965112,-6222637.928,-947074533.8,64.84387392,10.35029183,19.87773177,7.953536119,3739722967,5.276512146,21.95897458,2.977486513,9.212958899,562583349.2,19.5,,2.8069,,22.35526316,71.4,1.511437317,9316997706,,,,9.08,,5.96,61.505,57.953,59.766,34.49000168,53.63999939,49.50587416,,9.156370104,,,,5.655,2.651,7.461,1.927,3.421,623.7597009
BGD,Bangladesh,South Asia,Lower middle income,ECI-BGD-2022,2022,-1603289893,0.355308724,1634888030,0.006867194,31598137.87,460132000000.0,7.099828776,4.91526E+11,7.696954372,5.049021879,5.049021879,-29612691454,-33568494214,33.77996727,4.438726696,5.698999556,6.241515199,262229297.8,1.711836696,11.66198349,1.519897644,8.784784146,4473791826,99.4,2.6875,13.26,,14.46877161,,1.644118838,75509404887,203000000000,162000000000,40614117144,,,1.42,76.012,71.514,73.698,,,98.09706298,59.10929532,61.72853743,6.6,18.7,28.1,11.777,3.838,6.413,4.593,11.468,91.74545444
BGR,Bulgaria,Europe & Central Asia,High income,ECI-BGR-2022,2022,-3621890000,5.4620082,4950920000,1.466216004,1329020000,90642851836.0,4.038777583,89633060192,15.32525893,15.91835969,15.91835969,-5308300000,985300000,138.8401468,23.27812902,18.27892962,7.974888274,16568542586,,,1.592286696,4.224773182,143691369.5,100,0.7964,9.5364,0.0016,36.09985262,,9.668744141,,,,,0.93,,,78.1,70.8,74.36097561,,,99.06253279,95.65433138,,,20.6,,1.589,12.314,4.007,4.268,10.748,1.860141667
BHR,Bahrain,Middle East & North Africa,High income,ECI-BHR-2022,2022,-3457446.809,4.180190897,1951329787,4.172784262,1947872340,46680398936.0,5.981302822,35167393617,3.625741043,7.849294621,7.849294621,8244680851,11513031915,166.3456175,54.63304966,13.62769862,2.146751613,636117212.8,1.987797263,9.295536413,3.145693414,1.663858785,1381313830,100,,3.5086,,0.936708861,,40.99546597,,,,,,,,80.497,78.242,79.246,98,99,99.91989902,98.90397556,,,,,,,,,,0.376
BHS,"Bahamas, The",Latin America & Caribbean,High income,ECI-BHS-2022,2022,-316430192.4,4.041548296,530913950.4,1.632743811,214483758,13136400000.0,10.7820132,13289300000,5.605406336,4.301046158,4.301046158,-3064849283,-417261475.7,83.1741573,50.04747293,13.33492585,12.78186626,17476,2.836576223,11.44193172,,,,100,,0.5551,0.001,50.93506494,1.1,4.924057574,,,,,17.79,,,77.843,70.757,74.358,,,,,,,,,,,,,,1
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,ECI-BIH-2022,2022,-773566811.2,3.470413489,851454276.3,0.317458867,77887465.12,24534663636.0,4.226811011,27856420015,14.02084408,11.80884011,11.80884011,-5453233507,-3328559416,110.2059677,16.00670199,18.6619176,1.319795862,4578638711,,,0.679977273,1.759456869,16654542.72,100,0.0038,4.3349,0.0038,42.73261719,,9.435746733,9714212460,,,,1.59,,4.17,77.498,73.126,75.293,98.30000305,99.69999695,96.09347422,86.97067946,,,,,10.491,16.087,13.058,12.657,31.668,1.859325877
BLR,Belarus,Europe & Central Asia,Upper middle income,ECI-BLR-2022,2022,-1426218876,2.177450119,1606417743,0.244254054,180198867.6,73775179925.0,-4.658395916,68063249686,15.20967527,14.88486237,14.88486237,385100000,4686035288,120.0242076,19.86856833,17.22887773,-0.199983253,1271635543,4.6282395,12.81811428,1.648693135,45.65431921,115174741.3,100,0.4689,9.6305,0.0131,43.33513966,,9.406418741,28354790751,,,,3.23,,9.63,78.384,68.09,73.11146341,,,99.17886811,93.09975592,,,3.9,,2.368,10.649,4.07,3.574,10.287,2.6261
BLZ,Belize,Latin America & Caribbean,Upper middle income,ECI-BLZ-2022,2022,-139707558.8,4.949870644,140907967.6,0.042168433,1200408.79,2846700000.0,9.652977724,2911500000,6.276893194,7.252447971,7.252447971,-705895306.5,-204514136.1,108.5291741,42.19804377,15.87777426,6.635818674,45,4.596599335,17.83135327,0.813414153,3.58976495,2419375,98.6,,0.0882,,55.00789128,30.8,2.213377101,1400415199,,,,,,2.83,74.685,67.721,70.962,,,98.40523412,,90.28829049,,,,,,,,,2
BMU,Bermuda,North America,High income,ECI-BMU-2022,2022,,0.263172619,20601100,0.263172619,20601100,7827980000.0,6.431133996,5569720000,,0.938226826,0.938226826,,,75.5111919,,11.89194426,0.716899571,93899,1.922213435,,,,,100,,0.1157,,18.51851852,0.9,5.56919798,,,,,,,,84.507,78.435,81.571,,,99.90314002,,,,,,,,,,,1
BOL,Bolivia,Latin America & Caribbean,Lower middle income,ECI-BOL-2022,2022,-87031312.66,0.014172287,6236980.083,-0.183588923,-80794332.57,44008282878.0,3.605680383,45122919855,1.746328729,5.124464466,5.124464466,2812996421,1002762494,67.75589878,8.310526377,19.89916384,3.745338618,841144251.3,7.575511445,,0.973258885,2.742533369,42936559.63,99.9,,11.5908,0.0026,46.53968836,,4.430058605,14774862744,,,,,,5.63,67.907,62.265,64.928,,,94.11337038,,26.98736683,,,,5.148,2.477,4.917,3.552,6.128,6.91
BRA,Brazil,Latin America & Caribbean,Upper middle income,ECI-BRA-2022,2022,-41251769571,3.822196153,74606361830,1.70880594,33354592259,1951920000000.0,3.016694354,1.94323E+12,9.28010609,8.570281953,8.570281953,51521824602,11904130389,38.81606598,6.158036339,18.42212725,2.139188515,3.59197E+11,,,1.698458397,2.365788941,254263567.4,100,12.9799,212.577,0.2995,59.12751189,,6.174273857,494000000000,,,,22.44,,6.63,76.596,70.296,73.425,94.69000244,99.27999878,99.59377131,87.25871547,,4.1,,27.2,5.064,11.877,10.415,9.231,20.743,5.163970291
BRB,Barbados,Latin America & Caribbean,High income,ECI-BRB-2022,2022,,0.239719873,15000000,0.239719873,15000000,6257303500.0,17.83286303,,,0.664976976,0.664976976,,,,,,,,4.416242153,12.73719566,,,,100,,0.2326,,14.65116279,5.5,3.371375541,,,,,,,,79.581,75.677,77.706,,,98.51445042,,,,,,,,,,,2
BRN,Brunei Darussalam,East Asia & Pacific,High income,ECI-BRN-2022,2022,292416275.5,-1.752933709,-292416275.5,,,16681536443.0,-1.62833154,11548719187,3.682250306,24.23672668,24.23672668,5152696949,4304624977,146.9739662,8.459450549,2.124238228,6.859335264,335732133.7,,,2.611932464,9.931646613,435857351.2,100,,1.2085,0.0018,72.10626186,,26.10470606,,,,,,,,76.791,72.509,74.551,,,99.90005116,,,,,,6.631,5.095,4.757,5.191,18.344,1.378956397
BTN,Bhutan,South Asia,Lower middle income,ECI-BTN-2022,2022,-8402097.146,0.289904655,8402097.146,,,2898227743.0,5.213867811,3900247573,5.639166714,5.794855193,5.794855193,-602176158.4,-789981472.5,85.57121655,7.991959204,21.17331334,-2.322156133,6913127.577,7.469822258,19.65393448,,,,100,,0.4104,,71.55322496,82.5,4.120300059,3120739643,,,,,,4.81,74.152,70.57,72.229,72.09999847,98,99.1314463,73.34199194,93.20417816,1.3,12.4,14.4,12.004,5.161,17.649,5.947,28.625,78.60449058
BWA,Botswana,Sub-Saharan Africa,Upper middle income,ECI-BWA-2022,2022,-699506126.1,3.491908165,709624140.4,0.049788578,10118014.24,20321958850.0,5.486028178,19357924183,11.66556748,14.61755097,14.61755097,555995318.5,87794270.08,85.60830278,8.072808658,27.887295,2.545355438,5667244612,,,2.382125373,8.946479425,4851254.699,75.9,,2.3214,,26.4995677,,5.079200227,1562715266,,,,2.56,,0.87,68.399,63.328,65.913,,,92.56756199,,,,,,18.482,25.352,29.526,23.615,44.216,12.36880833
CAF,Central African Republic,Sub-Saharan Africa,Low income,ECI-CAF-2022,2022,,,,,,2382618615.0,0.502110003,3098046077,5.583167352,5.96792445,5.96792445,,,45.23357,,8.335279997,-8.354147415,198597932.8,2.115913239,1.742527825,1.786872762,9.696536683,42182.65647,15.7,,0.1957,,35.70419596,90.9,2.554766647,429856219.1,,,,,,0.8,56.829,52.258,54.477,,,36.29504358,6.126444639,22.17641403,,,,,,,,,623.7597009
CAN,Canada,North America,High income,ECI-CAN-2022,2022,37342988263,2.312516526,49984660122,4.040172116,87327648385,2161480000000.0,3.819866339,2.15813E+12,6.802801153,7.653819927,7.653819927,15509256417,3078327811,67.55889637,12.86005262,2.691688625,3.167294467,4472474849,4.139571667,11.54688454,1.195777758,2.886598649,25567943876,100,3.7035,164.2478,0.1105,39.46592,,19.13875621,,3220000000000,,,6.05,,,83.58,79.12,81.29560976,,,99.22218431,99.03972929,,,,,4.12,11.304,6.78,5.28,10.067,1.301554775
CHE,Switzerland,Europe & Central Asia,High income,ECI-CHE-2022,2022,-14132708186,-1.342689794,-10988929764,-3.069504275,-25121637950,818427000000.0,2.568328178,7.06288E+11,2.835027986,2.497159504,2.497159504,1.20938E+11,1.10736E+11,140.1695488,38.41763994,11.3731562,-0.822156295,93892991.32,4.888244629,15.4527634,0.694637653,2.189528957,565231515.8,100,0.0484,14.4444,0.0086,32.2956707,,4.963229262,,,,,0.71,,,85.4,81.6,83.45365854,,,100,96.70000186,,,,,3.01,7.916,3.879,4.122,6.837,0.9548325
CHI,Channel Islands,Europe & Central Asia,High income,ECI-CHI-2022,2022,,,,,,11308300346.0,5.341961831,,,7.358322059,7.358322059,,,,,,,,,,,,,100,,,,,,,,,,,,,,83.635,79.521,81.583,,,,,,,,,,,,,,0.811301716
CHL,Chile,Latin America & Caribbean,High income,ECI-CHL-2022,2022,-5030305059,6.036279624,18236599109,4.371258216,13206294051,302117000000.0,2.058740081,3.14073E+11,11.64386671,7.913783466,7.913783466,3729441138,-11869384985,74.98778021,10.79992552,14.67535232,6.519726747,44336666585,,,1.548322524,5.783336222,4649295736,100,0.3818,31.1985,0.0085,24.82277373,,6.412712583,,,,,4.13,,,81.877,77.156,79.519,97.16000366,99.30999756,99.9999983,98.7713643,,0.5,6.5,18.1,6.748,8.844,8.884,8.249,18.285,873.3141895
CHN,China,East Asia & Pacific,Upper middle income,ECI-CHN-2022,2022,19846371667,1.06367353,1.90204E+11,1.174660069,2.1005E+11,17881800000000.0,2.95066993,1.72717E+13,1.973575557,1.823677107,1.823677107,6.65049E+11,5.77609E+11,38.35148208,4.65518874,16.51277478,,28748964189,4.235695839,1.549283967,1.623146278,4.885997815,29195842846,100,15.4808,929.0863,3.5582,23.83173363,,10.7349599,1130000000000,,,,,,2.42,81.343,75.963,78.587,,,97.64692955,,97.206797,,,,,,,,,6.737158112
CIV,C�te d�Ivoire,Sub-Saharan Africa,Lower middle income,ECI-CIV-2022,2022,-1431624507,2.278814581,1599115749,0.238682838,167491242,70173140101.0,6.217850913,73245274171,5.276167243,2.085898589,2.085898589,1074599521,-2737601348,53.43121911,8.034587162,1.417447114,18.81368144,739967379.7,3.511974318,15.93136835,0.888886346,3.917941715,67245699.56,70.4,0.1288,5.3239,,8.210499686,,1.058354923,26798259503,37440524380,36918110927,522413453.1,11.91,,3.1,60.282,57.686,58.916,,,72.85092565,43.89215526,21.81495912,,,,10.51,2.228,6.252,2.31,4.386,623.7597009
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,ECI-CMR-2022,2022,-898335371.2,2.087350322,925681548.6,0.061663811,27346177.41,44347206073.0,3.736784006,45519452370,6.247677133,6.831054732,6.831054732,-292617949,-1117636380,41.28660256,9.60422907,1.575554913,-5.793847925,465987287,2.617684364,12.76697543,0.942511872,5.499518532,41663821.64,71,0.0744,4.0806,,42.79257896,,1.429071301,12357415038,,,,,,4.18,62.556,59.392,60.958,,,69.59255264,,36.7118343,,,,,,,,,623.7597009
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,ECI-COD-2022,2022,-1409373842,2.141855158,1409373842,0.66320548,436399470,65801547620.0,8.924447626,67599750830,,10.10641724,10.10641724,1985177200,-2945395688,93.72866708,7.705016013,9.364668955,22.18313715,61629711.84,3.252127647,,0.578894367,3.251998797,37181599.86,21.5,,2.6906,,54.67567592,,0.542883262,5566560567,,,,0.68,,0.62,62.05,57.516,59.743,80.54000092,88.09999847,35.11656658,11.58433579,19.35247042,,,,,,,,,2006.708219
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,ECI-COG-2022,2022,,0.157485886,24909590,0.157485886,24909590,15817030155.0,1.475356132,11156863755,3.043443347,18.26089878,18.26089878,,,98.16133669,,11.83679224,-5.464531478,1872228999,2.95159227,15.59514572,1.979848889,8.351348993,265847972.7,50.6,,1.3932,,64.17569546,,3.931498115,7141041840,,,,,,6.23,64.617,61.513,63.053,,,,,,,,,,,,,,623.7597009
COL,Colombia,Latin America & Caribbean,Upper middle income,ECI-COL-2022,2022,-13799016477,4.975683423,17182521350,0.979789215,3383504873,345330000000.0,7.288883887,3.71607E+11,10.17723135,14.86657456,14.86657456,-12178248980,-16400360398,48.07397786,9.175617161,13.99818694,0.848814243,4833989993,,,2.811888484,8.255422277,966113161.7,100,0.6454,36.0946,0.0187,52.94577639,,4.118951847,156000000000,227000000000,217000000000,10317973023,13.3,,8.05,77.143,70.319,73.659,,98.91000366,97.53776039,73.85604483,70.1535998,6.5,36.6,29.3,10.238,9.946,12.716,10.547,20.985,4256.194167
COM,Comoros,Sub-Saharan Africa,Lower middle income,ECI-COM-2022,2022,-4128667.475,0.332281931,4128667.475,,,1242519408.0,2.603010319,1520217119,,4.9419332,4.9419332,-216394335.4,-314236050.9,47.78172661,25.66549309,9.61494799,1.796471897,119467594.8,2.431644213,1.476227234,,,,89.9,,0.1805,,17.21655024,39.3,0.908308439,329855627.5,,,,,,0.39,66.061,61.522,63.68,61.70999908,82.01999664,,,,,,,,,,,,467.1842612
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,ECI-CPV-2022,2022,-103425255.7,5.430144513,122015529,0.82733625,18590273.24,2247003348.0,15.84367568,2687991875,7.930929254,6.343190404,6.343190404,-779036132.1,-457845283.5,96.99413685,36.36513872,22.36522124,-2.759393936,52542793.67,4.672885418,15.69364469,0.457294214,1.714616441,125668.2732,97.1,,0.5917,,11.49379653,21.8,2.425631228,1920322850,,,,,,5.25,79.011,70.29,74.722,91,98.73999786,89.87072461,,,,,,,,,,,104.8630658
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,ECI-CRI-2022,2022,-3060056477,5.305043279,3673404329,0.885782399,613347852,69243626029.0,4.55149178,67455160322,8.274774902,6.280385137,6.280385137,-4666346520,2297074272,82.22753254,26.75753334,15.39587873,2.385188588,16666469.48,,,,,,100,0.1445,5.7069,,60.07853506,,3.134166968,29864324721,52929065434,52627948148,301117285.7,16.03,,4.04,80.036,74.762,77.32,,,99.81312891,80.50757849,85.95693422,1,25.5,23.8,6.515,10.988,16.066,11.325,30.384,647.1358176
CUB,Cuba,Latin America & Caribbean,Upper middle income,ECI-CUB-2022,2022,,,,,,,1.774853995,,,14.15540196,14.15540196,,,88.80303699,,32.53334185,1.487992646,,,16.95996475,,,,100,0.0258,1.1615,0.0005,31.23314066,,3.457271456,,,,,,,,80.565,75.793,78.155,,,94.65270392,,93.37921727,,,,,,,,,
CUW,Cura�ao,Latin America & Caribbean,High income,ECI-CUW-2022,2022,-157170896.1,5.710779443,175616794.9,0.599831353,18445898.82,3075180835.0,6.906,,,4.997782858,4.997782858,-1473665696,-844747427.2,,76.66452385,,,,,12.41537476,,,,100,,,,0.157657658,,,,,,,,,,,,,,,,,,,,,,,,,,1.79
CYM,Cayman Islands,Latin America & Caribbean,High income,ECI-CYM-2022,2022,921463030.6,-44.23077078,-2919604163,-30.27099479,-1998141132,6600843963.0,5.156329542,,,3.5832476,3.5832476,-648003968.2,1718626867,,86.73251285,,,,1.488945346,,,,,100,,0.1181,,52.66666667,,5.182215642,,,,,,,,,,,,,95.49785276,,,,,,,,,,,0.83333
CYP,Cyprus,Europe & Central Asia,High income,ECI-CYP-2022,2022,-8878913032,1.550207148,480194908.4,-27.11347548,-8398718123,30976176887.0,7.365622524,29978899017,8.39548298,6.688553782,6.688553782,-6297451678,61793803.24,201.2372058,127.4481217,17.87683532,4.578263628,553756129.6,,,1.822731365,4.793293647,532512389.9,100,0.0036,1.8804,,18.66774892,,7.568444535,,,,,3.93,,,83.673,80.068,81.889,,,99.76506274,99.76506274,,,,,5.762,7.737,7.784,6.807,18.61,0.949623753
CZE,Czechia,Europe & Central Asia,High income,ECI-CZE-2022,2022,-3471076484,3.029375173,9143600295,1.879369422,5672523811,301831000000.0,2.847170657,2.99394E+11,15.10016515,8.671100881,8.671100881,-858853708.1,3377084365,144.0114941,21.53784219,19.44147355,0.319916693,5868438412,,,1.378528444,3.871736546,45428325.66,100,0.1471,19.3176,0.0566,34.73694318,,11.61259649,,,,,3.07,,,82,76.2,79.02926829,,,99.88085663,97.88341163,,,,,0.794,12.477,2.038,2.224,6.745,23.357
